,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Bodegas,Departamentos por piso,Orientación,Número de piso de la unidad,Cantidad de pisos
936,Incluye Estacionamiento ,Departamento,Publicado hace 6 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",470.000,,"0,27 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,1,,,,,,,
937,Frente A Metro Irarrazaval!,Departamento,Publicado hace 6 días,2021-07-01,"Irarrazaval 200 - Departamento 1500 - 1800, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",380.000,,"0,33 UF/m²","0,31 UF/m²",39 m²,33 m²,1,1,1,,,,,,,
938,Gran Depto 1d1b Estac/bodega En Ñuñoa,Departamento,Publicado hace 6 días,2021-07-01,"Holanda 3222, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",390.000,,"0,32 UF/m²","0,31 UF/m²",41 m²,40 m²,1,1,1,,,,,,,
939, Espectacular  Departamento Ossa - Estrella Solitaria,Departamento,Publicado hace 6 días,2021-07-01,"Avda. Ossa 528 - Departamento 0000, Plaza Egaña, Ñuñoa, RM (Metropolitana)",550.000,,"0,21 UF/m²","0,25 UF/m²",87 m²,77 m²,2,2,1,,,,,,,
940,Departamento En Arriendo,Departamento,Publicado hace 6 días,2021-07-01,"Julio Prado 2100 - 2400, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",380.000,,"0,26 UF/m²","0,31 UF/m²",50 m²,50 m²,1,1,1,,,,,,,
941,Departamento En Arriendo,Departamento,Publicado hace 6 días,2021-07-01,"Alcalde Jorge Monckeberg 1 - 300, Ñuñoa, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,25 UF/m²",70 m²,70 m²,2,2,1,,,,,,,
942,Suecia/ Hernàn Cortès,Departamento,Publicado hace 6 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",600.000,,"0,2 UF/m²","0,25 UF/m²",100 m²,100 m²,2,2,1,,,,,,,
943,"Crescente Errazuriz, Bajos Gc!!!",Departamento,Publicado hace 6 días,2021-07-01,"Crescente Errázuriz 300 - 600, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",550.000,,"0,26 UF/m²","0,25 UF/m²",70 m²,70 m²,2,2,1,,,,,,,
944,Cercano A Metro Ñuñoa,Departamento,Publicado hace 6 días,2021-07-01,"Villaseca 123, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",580.000,,"0,29 UF/m²","0,25 UF/m²",66.6 m²,62.35 m²,2,2,1,,,,,,,
945,Arriendo  Luminoso Departamento En Ñuñoa,Departamento,Publicado hace 6 días,2021-07-01,"Dublé Almeyda 2980 - Departamento 508, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,33 UF/m²","0,3 UF/m²",56 m²,56 m²,2,2,1,,,,,,,
946,"Juan Gómez Millas 2700 - 3000, Entrega Inmediata!! ",Departamento,Publicado hace 5 días,2021-07-01,"Profesor Juan Gómez Millas 2700 - 3000, Estadio Nacional, Ñuñoa, RM (Metropolitana)",430.000,,"0,21 UF/m²","0,25 UF/m²",69 m²,65 m²,2,2,1,,,,,,,
947,"Hermoso Departamento 1 Dormitorio, Estacionamiento Y Bodega ",Departamento,Publicado hace 5 días,2021-07-01,"José Domingo Cañas 1640, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",380.000,,"0,32 UF/m²","0,31 UF/m²",40 m²,38 m²,1,1,1,67000 CLP,,,,,,
948,"Luminoso  3 D, En Regina Pacis 760,1 E,sin Bodega, Impecable",Departamento,Publicado hace 5 días,2021-07-01,"Regina Pacis 760 - Departamento 1502, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",680.000,,"0,24 UF/m²","0,24 UF/m²",97 m²,80 m²,3,2,1,,,,,,,
949,Arriendo Home Studio Con Estacionamiento,Departamento,Publicado hace 5 días,2021-07-01,"José Domingo Cañas 2400 - 2700, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",350.000,,"0,36 UF/m²","0,31 UF/m²",33 m²,33 m²,1,1,1,60000 CLP,,,,,,
950,"Las Talaveras, Mariposa Y Con Patio!!",Departamento,Publicado hace 5 días,2021-07-01,"Los Talaveras 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",700.000,,"0,22 UF/m²",,105 m²,105 m²,2,2,1,,,,,,,
951,"Depto 2d|1b| - Av. Suecia, Ñuñoa",Departamento,Publicado hace 5 días,2021-07-01,"Suecia 2700 - 3000, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",440.000,,"0,25 UF/m²","0,26 UF/m²",59 m²,59 m²,2,1,,65000 CLP,,,,,,
952,Plaza Egaña / Irarrázaval/ 2d-2b/ 56m2 ,Departamento,Publicado hace 5 días,2021-07-01,"Irarrázaval 5100 - 5400, Plaza Egaña, Ñuñoa, RM (Metropolitana)",520.000,,"0,32 UF/m²","0,32 UF/m²",55.52 m²,46.4 m²,2,2,1,120000 CLP,5 años,,,,,
953,Departamento En Arriendo Hermoso Condominio Manuel Salas 43,Departamento,Publicado hace 4 días,2021-07-01,"Manuel Salas 1 - 300, Ñuñoa, RM (Metropolitana)",480.000,,"0,25 UF/m²","0,25 UF/m²",65 m²,65 m²,2,2,1,,,,,,,
954,"Amplio Depto 101 De 1 Habitación En Máximo Jeria, Ñuñoa",Departamento,Publicado hace 4 días,2021-07-01,"Máximo Jeria 455 - Departamento 1 - 300, Juan Gómez Millas, Ñuñoa, RM (Metropolitana)",400.000,,"0,22 UF/m²",,60 m²,60 m²,1,1,1,50000 CLP,,,,,,
955,Lindo Departamento En Buena Ubicacion ,Departamento,Publicado hace 4 días,2021-07-01,"Dr Johow 900 - 1200, Juan Gómez Millas, Ñuñoa, RM (Metropolitana)",380.000,,"0,3 UF/m²","0,31 UF/m²",42 m²,36 m²,1,1,1,50000 CLP,,,,,,
956,Se Arrienda Estudio Nuevo - Metro Irarrazaval,Departamento,Publicado hace 4 días,2021-07-01,"Vicuña Mackenna 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",295.000,,"0,38 UF/m²","0,31 UF/m²",26 m²,26 m²,1,1,,,,,,,,
957,Studio Seminuevo - Cercano A Metro // Disponible Agosto,Departamento,Publicado hace 4 días,2021-07-01,"Irarrázaval 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",290.000,,"0,33 UF/m²","0,31 UF/m²",30 m²,27 m²,1,1,1,60000 CLP,,,,,,
958,Studio Seminuevo - Cercano A Metro // Disponible Agosto,Departamento,Publicado hace 4 días,2021-07-01,"Irarrázaval 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",290.000,,"0,33 UF/m²","0,31 UF/m²",30 m²,27 m²,1,1,1,60000 CLP,,,,,,
959,Full Amoblado / Incluye Estacionamiento ,Departamento,Publicado hace 3 días,2021-07-01,"Metro Chile España 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",750.000,,"0,34 UF/m²","0,25 UF/m²",75 m²,75 m²,2,2,1,,,,,,,
960,Metro Chile España / Con Estac. Y Bod / Disp. 15 De Junio,Departamento,Publicado hace 3 días,2021-07-01,"Irarrázaval 3600 - 3900, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",430.000,,"0,39 UF/m²","0,31 UF/m²",37 m²,35 m²,1,1,1,,,,,,,
961,Metro Villa Frei / Estudio Con Estac. Y Bod / Disp. Inmed.,Departamento,Publicado hace 3 días,2021-07-01,"Estrella Solitaria 4500 - 4800, Villa Frei, Ñuñoa, RM (Metropolitana)",390.000,,"0,32 UF/m²","0,31 UF/m²",41 m²,35 m²,1,1,1,,,,,,,
962,"Angel Pino, 2 Terrazas!!",Departamento,Publicado hace 3 días,2021-07-01,"Ángel Pino 3300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",630.000,,"0,28 UF/m²","0,25 UF/m²",75 m²,75 m²,2,2,,,,,,,,
963,"San Eugenio, Bajos Gc!!",Departamento,Publicado hace 3 días,2021-07-01,"San Eugenio 1731, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",530.000,,"0,25 UF/m²","0,25 UF/m²",70 m²,70 m²,2,2,1,,,,,,,
964,Remodelado / Exequiel Fernandez,Departamento,Publicado hace 3 días,2021-07-01,"Exequiel Fernández 600 - 900, Estadio Nacional, Ñuñoa, RM (Metropolitana)",530.000,,"0,25 UF/m²","0,25 UF/m²",70 m²,70 m²,2,2,1,100000 CLP,,,,,,
965,Departamento Barrio Italia / Irarrazaval,Departamento,Publicado hace 2 días,2021-07-01,"Departamento Barrio Italia / Irarrazaval ., Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",400.000,,"0,39 UF/m²","0,31 UF/m²",34.5 m²,32 m²,1,1,,,,,,,,
966,Matta Oriente 849 - Desde Agosto,Departamento,Publicado hace 2 días,2021-07-01,"Matta Oriente 849, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",580.000,,"0,24 UF/m²","0,25 UF/m²",80 m²,75 m²,2,2,1,,,,,,,
967,Chile España 105,Departamento,Publicado hace 2 días,2021-07-01,"Chile España 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",580.000,,"0,41 UF/m²","0,31 UF/m²",48 m²,43 m²,1,1,1,70000 CLP,,,,,,
968,Dublé Almeyda 2942,Departamento,Publicado hace 2 días,2021-07-01,"Dublé Almeyda 2942, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",950.000,,"0,28 UF/m²",,113 m²,106 m²,3,2,1,180000 CLP,,,,,,
969,Eduardo Castillo Velasco / Salvador,Departamento,Publicado hace 2 días,2021-07-01,"Alcalde Eduardo Castillo Velasco 1200 - 1500, Estadio Nacional, Ñuñoa, RM (Metropolitana)",320.000,,"0,24 UF/m²","0,31 UF/m²",45.1 m²,42 m²,1,1,,,,,,,,
970,Impecable / Antonio Varas / Sucre,Departamento,Publicado hace 2 días,2021-07-01,"Antonio Varas 2100 - 2400, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",450.000,,"0,21 UF/m²","0,25 UF/m²",72 m²,60 m²,2,2,1,,,,,,,
971,"Depto En Arriendo Tres Dormitorios, Ñuñoa ",Departamento,Publicado hace 2 días,2021-07-01,"Ortúzar 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",595.000,,"0,21 UF/m²","0,24 UF/m²",95 m²,87 m²,3,2,1,,,,,,,
972,Studio Seminuevo - Cercano A Metro // Disponible Agosto,Departamento,Publicado hace 2 días,2021-07-01,"Irarrázaval 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",290.000,,"0,33 UF/m²","0,31 UF/m²",30 m²,27 m²,1,1,1,60000 CLP,,,,,,
973,Irarrazaval/los Cerezos,Departamento,Publicado hace 2 días,2021-07-01,"Irarrázaval 4200 - 4500, Villa Frei, Ñuñoa, RM (Metropolitana)",370.000,,"0,36 UF/m²","0,31 UF/m²",35 m²,32 m²,1,1,,60000 CLP,,,,,,
974,"Hermoso Departamento, José Pedro Alessandri 61.",Departamento,Publicado hace 2 días,2021-07-01,"Avenida José Pedro Alessandri 1 - 300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",440.000,,"0,21 UF/m²","0,25 UF/m²",70 m²,70 m²,2,2,1,90000 CLP,,,,,,
975,"A Pasos De Plaza Egaña, Disponibilidad A Partir 1 Agosto",Departamento,Publicado hace 2 días,2021-07-01,"Irarrazaval 6600 - 6900, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,25 UF/m²","0,26 UF/m²",75 m²,75 m²,2,1,1,95000 CLP,,,,,,
976,San  Eugenio,Departamento,Publicado hace 2 días,2021-07-01,"San Eugenio 1200 - 1500, Parque San Eugenio - Metro Ñuble, Ñuñoa, RM (Metropolitana)",350.000,,"0,26 UF/m²","0,31 UF/m²",45 m²,45 m²,1,1,1,65000 CLP,,,,,,
977,Brown Sur / Dublé Almeyda,Departamento,Publicado hace 2 días,2021-07-01,"Brown Sur / Dublé Almeyda, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",350.000,,,,45 m²,45 m²,,,,,,,,,,
978,Metro Plaza Egaña,Departamento,Publicado hace 2 días,2021-07-01,"Metro Plaza Egaña, Plaza Egaña, Ñuñoa, RM (Metropolitana)",450.000,,"0,28 UF/m²","0,32 UF/m²",54 m²,50 m²,2,2,,,,,,,,
979,Campus Oriente / Holanda / Con Estaciona,Departamento,Publicado hace 2 días,2021-07-01,"Campus Oriente / Holanda / Con Estaciona, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,32 UF/m²","0,31 UF/m²",44 m²,40 m²,1,1,,,,,,,,
980,Excelente Departamento Ricardo Lyon / Irarrazaval,Departamento,Publicado hace 2 días,2021-07-01,"Avenida Ricardo Lyon 3300 - 3600, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",390.000,,"0,39 UF/m²","0,31 UF/m²",34 m²,30 m²,1,1,1,,,,,,,
981,Fco Villagra - Nuncio Lagui - Plaza Egaña - Nuevo A,Departamento,Publicado hace 2 días,2021-07-01,"Nuncio Laghi 5400 - 5700, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",350.000,,"0,31 UF/m²","0,31 UF/m²",38 m²,34 m²,1,1,1,,,,,,,
982,"Depto. Cauquenes 60, 1 Dorm Con Estacionamiento",Departamento,Publicado hace 2 días,2021-07-01,"Cauquenes 1 - 300, Plaza Egaña, Ñuñoa, RM (Metropolitana)",380.000,,"0,34 UF/m²","0,31 UF/m²",38 m²,34 m²,1,1,1,,,,,,,
983,Depto Estilo Mariposa Nuevo!!,Departamento,Publicado hace 2 días,2021-07-01,"Pucará 5100 - 5400, Ñuñoa, RM (Metropolitana)",550.000,,"0,32 UF/m²","0,32 UF/m²",57 m²,49 m²,2,2,1,80000 CLP,,,,,,
984,Arriendo  Luminoso Departamento Con Balcon,Departamento,Publicado hace 2 días,2021-07-01,"Zañartu 1313 - Departamento 1200 - 1500, Estadio Nacional, Ñuñoa, RM (Metropolitana)",420.000,,,,38 m²,38 m²,1,1,,,,,,,,
985,Gran Depto 2d1b En Ñuñoa,Departamento,Publicado hace 2 días,2021-07-01,"Suecia 2955, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",440.000,,"0,26 UF/m²","0,3 UF/m²",56 m²,55 m²,2,2,,,,,,,,
986,Arriendo Hermoso Depto 2d2b Mariposa Nuevo,Departamento,Publicado hace 2 días,2021-07-01,"Dublé Almeyda 2700 - 3000, Ñuñoa, RM (Metropolitana)",600.000,,"0,28 UF/m²","0,25 UF/m²",73 m²,63 m²,2,2,1,,,,,,,
987,Departamento Cercano A Barrio Italia,Departamento,Publicado hace 2 días,2021-07-01,"Seminario 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",320.000,,"0,27 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,,45000 CLP,,,,,,
988, $420mil Av. Irarrazaval 4500 Depto 2d 1b Estacionamiento ,Departamento,Publicado hace 2 días,2021-07-01,"Alcalde Monckeberg 35 - Departamento 1406, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",420.000,,"0,26 UF/m²","0,32 UF/m²",55 m²,50 m²,2,2,1,,,,,,,
989,Depto Mariposa Casi Nuevo Simon Bolivar Pedro De Valdivia,Departamento,Publicado hace 2 días,2021-07-01,"Simón Bolívar 2400 - 2700, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",640.000,,"0,25 UF/m²","0,25 UF/m²",87 m²,71 m²,2,2,1,,,,,,,
990,"Impecable, Luminoso, Disponible Inmediato",Departamento,Publicado hace 1 día,2021-07-01,"Emilio Vaisse 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",380.000,,"0,27 UF/m²","0,31 UF/m²",47 m²,42 m²,1,1,1,55000 CLP,,,,,,
991,Departamento A Estrenar En Excelente Sector De Ñuñoa,Departamento,Publicado hace 1 día,2021-07-01,"Avenida Italia 2025 - Departamento 1200 - 1500, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",440.000,,"0,27 UF/m²","0,31 UF/m²",54 m²,44 m²,1,1,1,,,,,,,
992,Arriendo  Luminoso Departamento Con Balcon,Departamento,Publicado hace 1 día,2021-07-01,"Zañartu 1313 - Departamento 1200 - 1500, Estadio Nacional, Ñuñoa, RM (Metropolitana)",420.000,,"0,37 UF/m²","0,31 UF/m²",38 m²,38 m²,1,1,,,,,,,,
993,Arriendo  Luminoso Departamento En Ñuñoa,Departamento,Publicado hace 1 día,2021-07-01,"Dublé Almeyda 2980 - Departamento 300 - 600, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",550.000,,"0,33 UF/m²","0,3 UF/m²",56 m²,56 m²,2,2,1,,,,,,,
994,Depto Luminoso Irarrazaval Con Hamburgo,Departamento,Publicado hace 1 día,2021-07-01,"Irarrázaval 4800 - 5100, Plaza Egaña, Ñuñoa, RM (Metropolitana)",450.000,,"0,25 UF/m²","0,26 UF/m²",60 m²,60 m²,2,1,1,,,,,,,
995,"Josè Pedro Alessandri, Nororiente!!",Departamento,Publicado hace 1 día,2021-07-01,"Avenida José Pedro Alessandri 300 - 600, Estadio Nacional, Ñuñoa, RM (Metropolitana)",650.000,,"0,22 UF/m²","0,24 UF/m²",98 m²,98 m²,3,2,1,,,,,,,
996,Excelente Ubicación,Departamento,Publicado hace 1 día,2021-07-01,"San Jorge 1 - 300, Diagonal Oriente, Ñuñoa, RM (Metropolitana)",380.000,,"0,32 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,1,65000 CLP,,,,,,
997,"Departamento 3d + 3b, Metro.ñuñoa Y Chile España,",Departamento,Publicado hace 1 día,2021-07-01,"Avenida Ricardo Lyon 3300 - 3600, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",700.000,,"0,21 UF/m²",,110 m²,95 m²,3,3,1,,,,,,,
998,Excelente No Deje De Preguntar Y Visitar,Departamento,Publicado hace 1 día,2021-07-01,"Emilio Vaisse 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",515.000,,"0,26 UF/m²","0,25 UF/m²",67 m²,60 m²,2,2,1,,,,,,,
999,"Arrienda Depto Pédro Torres, Ñuñioa Dos Dormitorios",Departamento,Publicado hace 1 día,2021-07-01,"Pedro Torres 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",485.000,,"0,26 UF/m²","0,25 UF/m²",63 m²,55 m²,2,2,1,60000 CLP,,,,,,
1000,Departamento En Arriendo¡¡ Excelente Conectividad Ñuñoa,Departamento,Publicado hace 1 día,2021-07-01,"Juan Moya Morales 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",500.000,,"0,28 UF/m²","0,3 UF/m²",60 m²,60 m²,2,2,1,110000 CLP,8 años,,,,,
1001,Jose Dgo Cañas // Entrega Inmediata ,Departamento,,2021-07-01,"José Domingo Cañas 1800 - 2100, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",540.000,,"0,23 UF/m²","0,25 UF/m²",80 m²,80 m²,2,2,1,,,,,,,
1002,"Jaime Guzmàn Errazuriz, 2 Estacionamientos!!",Departamento,Publicado hace 1 día,2021-07-01,"Jaime Guzmán Errázuriz 3000 - 3300, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",670.000,,"0,22 UF/m²",,101 m²,101 m²,3,2,2,,,,,,,
1003,Zañartu/ Till Till,Departamento,Publicado hace 1 día,2021-07-01,"Zañartu 1200 - 1500, Estadio Nacional, Ñuñoa, RM (Metropolitana)",370.000,,"0,33 UF/m²","0,31 UF/m²",38 m²,38 m²,1,1,,40000 CLP,,,,,,
1004,"Zañartu, Nuevo!! 2 Dormitorios, 2 Baños",Departamento,Publicado hace 1 día,2021-07-01,"Zañartu 900 - 1200, Estadio Nacional, Ñuñoa, RM (Metropolitana)",490.000,,"0,29 UF/m²","0,3 UF/m²",56.35 m²,56.35 m²,2,2,1,,,,,,,
1005,Julio Zegers // Diagonal Oriente,Departamento,Publicado hace 1 día,2021-07-01,"Julio Zegers 4200 - 4500, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",400.000,,"0,27 UF/m²","0,3 UF/m²",50 m²,47 m²,2,1,,45000 CLP,,,,,,
1006,Metro Irarrazaval,Departamento,Publicado hace 1 día,2021-07-01,"Seminario 763 - Departamento 1415-b, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",520.000,,"0,27 UF/m²","0,25 UF/m²",65 m²,59 m²,2,2,1,90000 CLP,,,,,,
1007,Metro Chile-españa,Departamento,Publicado hace 1 día,2021-07-01,"Duble Almeyda 3000 - 3300, Ñuñoa, RM (Metropolitana)",550.000,,"0,21 UF/m²","0,24 UF/m²",87.02 m²,72.45 m²,3,2,1,100000 CLP,,,,,,
1008,"Las Talaveras, Nuevo!!!",Departamento,Publicado hace 1 día,2021-07-01,"Los Talaveras 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",600.000,,"0,31 UF/m²","0,25 UF/m²",65 m²,65 m²,2,2,1,,,,,,,
1009,Cercano A Metro Ñuñoa - 1 Estacionamiento - Terraza,Departamento,Publicado hace 1 día,2021-07-01,"José Domingo Cañas 2400 - 2700, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",530.000,,"0,25 UF/m²","0,25 UF/m²",70 m²,60 m²,2,2,1,,,,,,,
1010,Edif Novo A Dos Cuadras Av Irarrázaval Y Metro Irarrázaval,Departamento,Publicado hace 1 día,2021-07-01,"Seminario 600 - 900, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",390.000,,"0,33 UF/m²","0,31 UF/m²",40 m²,36 m²,1,1,,65000 CLP,,,,,,
1011,Disponible. Irarrazaval Montenegro,Departamento,Publicado hace 1 día,2021-07-01,"Los Cerezos 1 - 300, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",385.000,,"0,31 UF/m²","0,31 UF/m²",42 m²,36 m²,1,1,,,,,,,,
1012,Cercano A Metro Principe De Gales,Departamento,Publicado hace 1 día,2021-07-01,"Celerino Pereira 1800 - 2100, Ñuñoa, RM (Metropolitana)",550.000,,"0,22 UF/m²","0,25 UF/m²",85 m²,80 m²,2,2,1,,,,,,,
1013,"Las Pircas, Peñalolen",Departamento,Publicado hace 2 meses,2021-07-01,"Las Pircas, Peñalolen, Las Pircas, Peñalolén, RM (Metropolitana)",1.200.000,,"0,23 UF/m²",,176.6 m²,135 m²,3,3,2,150000 CLP,,,,,,
1014,"Departamento 3 Dormitorios, 177 M2, Las",Departamento,Publicado hace 59 días,2021-07-01,"Departamento 3 Dormitorios, 177 M2, Las, Las Pircas, Peñalolén, RM (Metropolitana)",1.200.000,,"0,23 UF/m²",,177 m²,135 m²,3,3,,,,,,,,
1015,Arriendo Depto. Las Torres/ Altas Cumbres,Departamento,Publicado hace 36 días,2021-07-01,"Las Torres 5490, Las Parcelas, Peñalolén, RM (Metropolitana)",355.000,,"0,3 UF/m²",,40 m²,40 m²,3,1,1,,,,,,,
1016,Antupiren - Piscina - Áreas Verdes ,Departamento,Publicado hace 20 días,2021-07-01,"Antupiren 5400 - 5700, Villa San Carlos, Peñalolén, RM (Metropolitana)",600.000,,"0,21 UF/m²",,95 m²,85 m²,3,2,1,,,,,,,
1017,Amplio Departamento Peñalolen,Departamento,Publicado hace 17 días,2021-07-01,"Avenida Quilín 5662, Quilín - Cousiño Macul, Peñalolén, RM (Metropolitana)",850.000,,"0,23 UF/m²",,127 m²,116 m²,3,2,1,,,,,,,
1018,Jose Arrieta - Departamento  Dos Dormitorios,Departamento,Publicado hace 9 días,2021-07-01,"José Arrieta 6855, Peñalolén, RM (Metropolitana)",350.000,,"0,21 UF/m²",,55 m²,55 m²,2,1,,5000 CLP,,,,,,
1019,"Arriendo Departamento, Villa El Cobre, Peñalolen",Departamento,Publicado hace 3 días,2021-07-01,"Americo Vespucio 4800 - 5100, Casa Grande, Peñalolén, RM (Metropolitana)",350.000,,"0,25 UF/m²",,48 m²,48 m²,2,1,,,,,,,,
1020,Providencia / Guardia Vieja,Departamento,Publicado hace 2 años,2021-07-01,"Providencia / Guardia Vieja, Pedro de Valdivia, Providencia, RM (Metropolitana)",450.000,,"0,36 UF/m²","0,34 UF/m²",42 m²,39 m²,1,1,,,,,,,,
1021,Departamento En Arriendo Silvina Hurtado,Departamento,Publicado hace 9 meses,2021-07-01,"Departamento En Arriendo Silvina Hurtado, Pedro de Valdivia, Providencia, RM (Metropolitana)",810.000,,"0,27 UF/m²","0,26 UF/m²",100 m²,80 m²,3,2,,,,,,,,
1022,Metro Pedro De Valdivia,Departamento,Publicado hace 1 año,2021-07-01,"Metro Pedro De Valdivia, Pedro de Valdivia, Providencia, RM (Metropolitana)",690.000,,"0,46 UF/m²","0,32 UF/m²",50 m²,50 m²,2,2,,,,,,,,
1023,Penthouse Amoblado Inmediato Parroquia Del Sagrado Coraz...,Departamento,Publicado hace 10 meses,2021-07-01,"Penthouse Amoblado Inmediato Parroquia Del Sagrado Corazón De Jesús, Las Lilas, Providencia, RM (Metropolitana)",1.300.000,,"0,31 UF/m²",,140 m²,140 m²,2,3,,,,,,,,
1024,Carlos Antunez,Departamento,Publicado hace 2 años,2021-07-01,"Carlos Antunez, Las Lilas, Providencia, RM (Metropolitana)",1.300.000,,"0,21 UF/m²",,210 m²,150 m²,3,2,,,,,,,,
1025,Nueva Providencia 2211,Departamento,Publicado hace 1 año,2021-07-01,"Nueva Providencia 2211, Los Leones, Providencia, RM (Metropolitana)",790.000,,"0,3 UF/m²","0,28 UF/m²",90 m²,90 m²,2,2,,,,,,,,
1026,Lota / Suecia,Departamento,Publicado hace 1 año,2021-07-01,"Lota / Suecia, Los Leones, Providencia, RM (Metropolitana)",550.000,,"0,53 UF/m²","0,34 UF/m²",35 m²,33 m²,1,1,,,,,,,,
1027,Tobalaba / Carlos Antunez,Departamento,Publicado hace 1 año,2021-07-01,"Tobalaba / Carlos Antunez, Las Lilas, Providencia, RM (Metropolitana)",22,658.138,"0,28 UF/m²","0,26 UF/m²",80 m²,80 m²,3,2,,,,,,,,
1028,Padre Mariano Metro Pedro De Valdivia,Departamento,Publicado hace 10 meses,2021-07-01,"Padre Mariano Metro Pedro De Valdivia, Pedro de Valdivia, Providencia, RM (Metropolitana)",470.000,,"0,27 UF/m²","0,29 UF/m²",58 m²,58 m²,1,1,,,,,,,,
1029,Oportunidad 4 Dormitorios Amobalado,Departamento,Publicado hace 5 meses,2021-07-01,"Oportunidad 4 Dormitorios Amobalado, Las Lilas, Providencia, RM (Metropolitana)",1.200.000,,"0,26 UF/m²",,157 m²,157 m²,4,3,,,,,,,,
1030,Suecia / Nueva Providencia,Departamento,Publicado hace 1 año,2021-07-01,"Suecia / Nueva Providencia, Los Leones, Providencia, RM (Metropolitana)",550.000,,"0,31 UF/m²","0,31 UF/m²",60 m²,60 m²,2,2,,,,,,,,
1031,Providencia Nuevo -- Bernarda Morín / Salvador,Departamento,Publicado hace 1 año,2021-07-01,"Providencia Nuevo -- Bernarda Morín / Salvador, Salvador, Providencia, RM (Metropolitana)",850.000,,"0,39 UF/m²","0,28 UF/m²",74 m²,62 m²,2,2,,,,,,,,
1032,Valenzuela Castillo 1858,Departamento,Publicado hace 1 año,2021-07-01,"Valenzuela Castillo 1858, Pedro de Valdivia, Providencia, RM (Metropolitana)",840.000,,"0,37 UF/m²","0,28 UF/m²",77 m²,62 m²,2,2,,,,,,,,
