,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Cantidad de pisos,Ambientes,Bodegas,Orientación
966,"Impecable Y Moderna En Calle Tranquila, Gran Conectividad!",Casa,Publicado hace 26 días,2021-07-01,"Las Carretas 2099, La Reina, Región Metropolitana, Chile, Troncos Viejos, La Reina, RM (Metropolitana)",1.500.000,,"0,18 UF/m²",,280 m²,180 m²,4,3,2,0 CLP,10 años,2,,,NOSP
967,"Impecable Y Moderna En Calle Tranquila, Gran Conectividad!",Casa,Publicado hace 26 días,2021-07-01,"Las Carretas 2099, La Reina, Región Metropolitana, Chile, Troncos Viejos, La Reina, RM (Metropolitana)",1.500.000,,"0,18 UF/m²",,280 m²,180 m²,4,3,2,0 CLP,10 años,2,,,NOSP
968,Casa En Arriendo De 7 Dorm. En San Miguel,Casa,Publicado hace 25 días,2021-07-01,"La Marina | Casa Arriendo Gran Metraje!, Lo Vial, San Miguel, RM (Metropolitana)",1.750.000,,"0,11 UF/m²",,538 m²,213 m²,7,5,3,,,,,,
969,"Excelente Casa, Cercana A Pasos Del Metro Manquehue",Casa,Publicado hace 25 días,2021-07-01,"Las Gaviotas 6000 - 6300, Las Condes, Chile, Rotonda Atenas, Las Condes, RM (Metropolitana)",1.200.000,,"0,13 UF/m²",,312 m²,110 m²,3,1,3,,,1,,,NOSP
970,"Sector Jardin Del Este, A Pasos  Colegio Alianza Francesa...",Casa,Publicado hace 25 días,2021-07-01,"Laura Tromben, Jardín Del Este, Vitacura, RM (Metropolitana)",4.500.000,,"0,19 UF/m²",,800 m²,280 m²,6,5,,,,,,,
971,"Casa La Reina, 5 Habitaciones, 3 Baños, 140 Mts",Casa,Publicado hace 24 días,2021-07-01,"Avenida Echeñique 7200 - 7500, La Reina, Chile, Palmas de Mallorca, La Reina, RM (Metropolitana)",1.300.000,,"0,24 UF/m²",,180 m²,140 m²,5,3,2,,5 años,2,,,
972,Casa En Arriendo De 3 Dorm. En Las Condes,Casa,Publicado hace 24 días,2021-07-01,"Pedro De Gamboa 375, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",1.800.000,,"0,23 UF/m²",,260 m²,140 m²,3,3,2,,,,,,
973,Casa En Arriendo De 8 Dormitorios En Las Condes,Casa,Publicado hace 24 días,2021-07-01,"Metro Hernando De Magallanes, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",2.450.000,,"0,1 UF/m²",,800 m²,190 m²,8,3,8,,,,,,
974,Casa En Arriendo De 5 Dormitorios En Colina,Casa,Publicado hace 24 días,2021-07-01,"Las Brisas De Chicureo, Centro de Colina, Colina, RM (Metropolitana)",5.000.000,,"0,03 UF/m²","0,03 UF/m²",5000 m²,640 m²,5,5,8,110000 CLP,,,,,
975,Casa En Arriendo De 3 Dorm. En Providencia,Casa,Publicado hace 24 días,2021-07-01,"Holanda / Los Leones, Las Lilas, Providencia, RM (Metropolitana)",125,3.714.100,"0,31 UF/m²",,400 m²,300 m²,3,4,8,,,,,,
976,Casa En Arriendo De 8 Dormitorios En Las Condes,Casa,Publicado hace 24 días,2021-07-01,"Av. Presidente Errázuriz / Gertrudis Echeñique, Barrio El Golf, Las Condes, RM (Metropolitana)",180,5.348.304,"0,3 UF/m²",,600 m²,300 m²,8,4,17,,,,,,
977,Casa En Arriendo De 3 Dormitorios En Providencia,Casa,Publicado hace 24 días,2021-07-01,"Holanda / Los Leones, Las Lilas, Providencia, RM (Metropolitana)",3.698.321,,"0,31 UF/m²",,400 m²,300 m²,3,4,8,,,,,,
978,Casa En Arriendo De 3 Dormitorios En Providencia,Casa,Publicado hace 24 días,2021-07-01,"Holanda / Los Leones, Las Lilas, Providencia, RM (Metropolitana)",124,3.710.237,"0,31 UF/m²",,400 m²,300 m²,3,4,8,,,,,,
979,"Sector Jardin Del Este, A Pasos  Colegio Alianza Francesa...",Casa,Publicado hace 24 días,2021-07-01,"Laura Tromben, Jardín Del Este, Vitacura, RM (Metropolitana)",4.500.000,,"0,19 UF/m²",,800 m²,280 m²,6,5,,,,,,,
980,Casa En Arriendo De 5 Dorm. En Providencia,Casa,Publicado hace 24 días,2021-07-01,"Metro Salvador - General Salvo, Salvador, Providencia, RM (Metropolitana)",2.000.000,,"0,27 UF/m²",,250 m²,122 m²,5,5,,,,,,,
981,Sector Carretera San Martín,Casa,,2021-07-01,"Sector Carretera San Martín, Chicureo, Colina, RM (Metropolitana)",85,2.525.588,"0,01 UF/m²","0,03 UF/m²",15000 m²,350 m²,4,4,,,,,4,,
982,19389 - Carolina Rabat / Vitacura,Casa,Publicado hace 23 días,2021-07-01,"Santa María de Manquehue, Vitacura, RM (Metropolitana)",200,5.942.559,"0,13 UF/m²","0,1 UF/m²",1501 m²,606 m²,5,5,6,,,,5,,
983,16405 - El Huinganal Bajo - Lo Barnechea,Casa,Publicado hace 23 días,2021-07-01,"La Dehesa, Lo Barnechea, RM (Metropolitana)",210,6.239.687,"0,12 UF/m²","0,11 UF/m²",1710 m²,400 m²,4,5,,,,,4,,
984,20941 - Cerro La Cruz / Manquehue Oriente,Casa,Publicado hace 23 días,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,1 UF/m²","0,11 UF/m²",1200 m²,350 m²,4,4,1,,,,4,,
985,19748 - Los Bravos /condominio Dehesa,Casa,Publicado hace 23 días,2021-07-01,"Los Trapenses, Lo Barnechea, RM (Metropolitana)",100,2.971.280,"0,14 UF/m²","0,15 UF/m²",700 m²,270 m²,4,4,4,,,,4,,
986,Casa En Arriendo De 4 Dorm. En Colina,Casa,Publicado hace 23 días,2021-07-01,"Casa Totalmente Equipada, Chicureo, Colina, RM (Metropolitana)",2.600.000,,"0,12 UF/m²",,750 m²,290 m²,4,3,4,165000 CLP,,,,,
987,Av Los Leones,Casa,Publicado hace 23 días,2021-07-01,"Av Los Leones, Campus Oriente, Providencia, RM (Metropolitana)",1.400.000,,,,100 m²,100 m²,,,1,,,,,,
988,"Casa En Arriendo Sector Céntrico De Maipú Con 3d,2baño.",Casa,Publicado hace 23 días,2021-07-01,"Nueva San Martín, Plaza de Maipú, Maipú, RM (Metropolitana)",600.000,,"0,13 UF/m²",,150 m²,72 m²,3,2,,,1990 años,,,,
989,Casa En Arriendo De 8 Dorm. En Santiago,Casa,Publicado hace 23 días,2021-07-01,"Barrio Brasil Entre Moneda Y Agustinas, Barrio Brasil, Santiago, RM (Metropolitana)",90,2.674.152,"0,25 UF/m²",,357 m²,273 m²,8,11,,,,,,,
990,Casona En Arriendo Solo El 2° Piso ,Casa,Publicado hace 23 días,2021-07-01,"Almirante Latorre 87, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",900.000,,"0,13 UF/m²",,240 m²,240 m²,6,2,,,,1,,,
991,Oportunidad Arriendo  Hermosa Casa En Parcela,Casa,Publicado hace 23 días,2021-07-01,"Peñaflor, RM (Metropolitana)",1.200.000,,"0,02 UF/m²",,2500 m²,200 m²,4,3,2,,0 años,,7,,
992,Casa En Arriendo En Lo Barnechea,Casa,Publicado hace 23 días,2021-07-01,"Camino Del Cielo, Los Trapenses, Lo Barnechea, RM (Metropolitana)",140,4.159.792,"0,12 UF/m²","0,11 UF/m²",1200 m²,475 m²,6,5,6,,,,,,Oriente
993,Casa En Las Condes,Casa,Publicado hace 23 días,2021-07-01,"Paul Klee, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",1.300.000,,"0,21 UF/m²",,215 m²,135 m²,4,2,3,,,,,,
994,Amplia Y Acogedora Casa En La Florida,Casa,Publicado hace 22 días,2021-07-01,"Manquelpi 6900 - 7200, La Florida, Chile, La Florida Alto, La Florida, RM (Metropolitana)",850.000,,"0,24 UF/m²",,120 m²,120 m²,6,4,2,,,5,,,
995,Casa En Arriendo De 5 Dorm. En Lo Barnechea,Casa,Publicado hace 22 días,2021-07-01,"Valle Escondido, Valle Escondido, Lo Barnechea, RM (Metropolitana)",5.000.000,,"0,08 UF/m²","0,11 UF/m²",2000 m²,500 m²,5,6,,,,,,,
996,Casa Loma Redonda 6 Sur/camilo Henriquez,Casa,Publicado hace 22 días,2021-07-01,"Loma Redonda 6 Sur/camilo Henriquez, Las Vizcachas, Puente Alto, RM (Metropolitana)",650.000,,"0,13 UF/m²",,166 m²,130 m²,3,3,2,,,,3,,
997,"Buen Estado, En La Mejor Ubicación De Las Condes",Casa,Publicado hace 22 días,2021-07-01,"Los Trigales 300 - 600, Las Condes, Chile, Metro Hernando de Magallanes, Las Condes, RM (Metropolitana)",44,1.307.363,"0,19 UF/m²",,236 m²,128 m²,3,2,2,0 CLP,51 años,2,,,
998,"Moderna E Iluminada Casa Nor-oriente, Casi Nueva!!",Casa,Publicado hace 22 días,2021-07-01,"Av. Jose Rabat 9600 - 9900, Chicureo, Colina, Chile, Chicureo, Colina, RM (Metropolitana)",1.800.000,,"0,13 UF/m²",,480 m²,162 m²,4,4,4,95000 CLP,4 años,2,,,
999,"Moderna E Iluminada Casa Nor-oriente, Casi Nueva!!",Casa,Publicado hace 22 días,2021-07-01,"Av. Jose Rabat 9600 - 9900, Chicureo, Colina, Chile, Chicureo, Colina, RM (Metropolitana)",1.800.000,,"0,13 UF/m²",,480 m²,162 m²,4,4,4,95000 CLP,4 años,2,,,
1000,Casa En Arriendo De 5 Dorm. En La Reina,Casa,Publicado hace 22 días,2021-07-01,"Príncipe De Gales / Padre Hurtado, Carlos Ossandón, La Reina, RM (Metropolitana)",1.350.000,,"0,19 UF/m²",,240 m²,180 m²,5,3,2,120000 CLP,,,,,
1001,Casa En Arriendo De 5 Dorm. En Vitacura,Casa,Publicado hace 22 días,2021-07-01,"Remodelada - Cerca Alianza, Jardín Del Este, Vitacura, RM (Metropolitana)",4.500.000,,"0,19 UF/m²",,800 m²,280 m²,5,4,4,130000 CLP,,,,,
1002,Casa En Arriendo De 5 Dorm. En Vitacura,Casa,Publicado hace 22 días,2021-07-01,"Remodelada - Cerca Alianza, Jardín Del Este, Vitacura, RM (Metropolitana)",4.500.000,,"0,19 UF/m²",,800 m²,280 m²,5,4,4,130000 CLP,,,,,
1003,Casa En Arriendo En Ñuñoa,Casa,Publicado hace 22 días,2021-07-01,"Arriendo Para Uso Oficina En Ñuñoa A Tres Cuadras De Metro Mons. Eyzaguirre, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",1.500.000,,,,420 m²,140 m²,,2,3,,,,,,
1004,Casa Rotonda Las Flores/campanario,Casa,Publicado hace 22 días,2021-07-01,"Rotonda Las Flores/campanario, Los Dominicos, Las Condes, RM (Metropolitana)",3.500.000,,"0,09 UF/m²","0,1 UF/m²",1280 m²,304 m²,4,4,2,,,,4,,
1005,Excelente Casa Habitacional Y/o Oficinas,Casa,Publicado hace 22 días,2021-07-01,"Doctor Ruperto Correa 2291, Providencia, Chile, Metro Bilbao, Providencia, RM (Metropolitana)",1.700.000,,"0,23 UF/m²","0,19 UF/m²",244 m²,202 m²,7,5,2,,,2,,,N
1006,"Puente Alto, Arriendo Amplia Casa, 5 Dormitorios, 2 Baños...",Casa,Publicado hace 22 días,2021-07-01,"Río Huemules, Cementerios, Puente Alto, RM (Metropolitana)",550.000,,"0,19 UF/m²",,100 m²,180 m²,5,2,3,,,,,,
1007,Preciosa Casa Mediterránea Golf De Manquehue,Casa,Publicado hace 22 días,2021-07-01,"Preciosa Casa Mediterránea Golf De Manquehue, Los Trapenses, Lo Barnechea, RM (Metropolitana)",4.000.000,,"0,14 UF/m²","0,16 UF/m²",972 m²,318 m²,4,4,2,,,2,6,1,NOR ORIENTE
1008,Casa En Arriendo De 2 Dorm. En Santiago,Casa,Publicado hace 22 días,2021-07-01,"Metro Santa Lucia, Santa Isabel, Santiago, RM (Metropolitana)",410.000,,"0,22 UF/m²",,62 m²,59 m²,2,2,,90000 CLP,,,,,
1009,Casa En Arriendo De 2 Dorm. En Santiago,Casa,Publicado hace 22 días,2021-07-01,"Metro Santa Lucia, Santa Isabel, Santiago, RM (Metropolitana)",410.000,,"0,22 UF/m²",,62 m²,59 m²,2,2,,90000 CLP,,,,,
1010,Casa En Arriendo De 2 Dorm. En Santiago,Casa,Publicado hace 22 días,2021-07-01,"Metro Santa Lucia, Santa Isabel, Santiago, RM (Metropolitana)",410.000,,"0,22 UF/m²",,62 m²,59 m²,2,2,,90000 CLP,,,,,
1011,Jardín Alto,Casa,,2021-07-01,"Jardín Alto, La Florida Alto, La Florida, RM (Metropolitana)",1.500.000,,"0,43 UF/m²",,120 m²,120 m²,4,4,4,0 CLP,0 años,,4,1,Norte
1012,Jardín Alto,Casa,,2021-07-01,"Jardín Alto, La Florida Alto, La Florida, RM (Metropolitana)",1.500.000,,"0,42 UF/m²",,120 m²,120 m²,4,4,4,0 CLP,0 años,,4,1,Norte
1013,Las Compuertas,Casa,,2021-07-01,"Las Compuertas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.523.200,,"0,31 UF/m²",,385 m²,350 m²,5,4,4,0 CLP,0 años,,5,,Este
1014,Las Compuertas,Casa,,2021-07-01,"Las Compuertas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.523.200,,"0,31 UF/m²",,385 m²,350 m²,5,4,4,0 CLP,0 años,,5,,Este
1015,Talinay,Casa,,2021-07-01,"Talinay, La Reina Alta, La Reina, RM (Metropolitana)",2.050.000,,"0,07 UF/m²",,1000 m²,220 m²,5,3,3,86000 CLP,40 años,,5,1,Oeste
1016,Talinay,Casa,,2021-07-01,"Talinay, La Reina Alta, La Reina, RM (Metropolitana)",2.050.000,,"0,07 UF/m²",,1000 m²,220 m²,5,3,3,86000 CLP,40 años,,5,1,Oeste
1017,Calle Uno,Casa,,2021-07-01,"Calle Uno, Lo Vial, San Miguel, RM (Metropolitana)",1.500.000,,"0,19 UF/m²",,275 m²,190 m²,4,4,3,0 CLP,10 años,,4,1,Oeste
1018,Calle Uno,Casa,,2021-07-01,"Calle Uno, Lo Vial, San Miguel, RM (Metropolitana)",1.500.000,,"0,19 UF/m²",,275 m²,190 m²,4,4,3,0 CLP,10 años,,4,1,Oeste
1019,Camilo Henríquez,Casa,,2021-07-01,"Camilo Henríquez, Quilpué, Valparaíso",800.000,,,,200 m²,140 m²,4,2,2,0 CLP,0 años,,4,,Norte
1020,Casa En Arriendo De 6 Dorm. En Lo Barnechea,Casa,Publicado hace 22 días,2021-07-01,"Pedro Lira Urquieta, Camino Las Hualtatas, Los Trapenses, Lo Barnechea, RM (Metropolitana)",3.500.000,,"0,15 UF/m²","0,16 UF/m²",780 m²,340 m²,6,5,2,180000 CLP,,,,,
1021,"Casa En Arriendo, 4 Dormitorios, Las Condes",Casa,Publicado hace 22 días,2021-07-01,"Colina Miravalle, Los Dominicos, Las Condes, RM (Metropolitana)",118,3.506.110,"0,11 UF/m²","0,1 UF/m²",1100 m²,350 m²,5,4,3,,16 años,,,,
1022,Casa En Arriendo De 7 Dorm. En Providencia,Casa,Publicado hace 22 días,2021-07-01,"Manuel Montt / Alferez Real, Providencia, RM (Metropolitana)",1.890.000,,"0,17 UF/m²",,368 m²,180 m²,7,3,4,,,,,,
1023,Casa En Arriendo De 5 Dorm. En Colina,Casa,,2021-07-01,"Piedra Roja, Chicureo, Colina, RM (Metropolitana)",4.500.000,,"0,04 UF/m²","0,03 UF/m²",3500 m²,430 m²,5,6,8,20000 CLP,,,,,
1024,"Puyehue 1282, Providencia, Chile",Casa,Publicado hace 2 meses,2021-07-01,"Puyehue 1282, Providencia, Chile, Inés de Suárez, Providencia, RM (Metropolitana)",1.100.000,,"0,19 UF/m²",,200 m²,120 m²,3,2,1,,50 años,2,,,P
1025,Casa De Campo En La Reina,Casa,Publicado hace 21 días,2021-07-01,"Carpay 9c, La Reina, Chile, La Reina Alta, La Reina, RM (Metropolitana)",1.870.000,,"0,03 UF/m²",,2200 m²,320 m²,4,3,6,120000 CLP,11 años,1,,,NOSP
1026,Casa De Campo En La Reina,Casa,Publicado hace 21 días,2021-07-01,"Carpay 9c, La Reina, Chile, La Reina Alta, La Reina, RM (Metropolitana)",1.870.000,,"0,03 UF/m²",,2200 m²,320 m²,4,3,6,120000 CLP,11 años,1,,,NOSP
1027,Santa Maria De Manquehue,Casa,Publicado hace 21 días,2021-07-01,"Santa Maria De Manquehue, Santa María de Manquehue, Vitacura, RM (Metropolitana)",170,5.051.176,"0,17 UF/m²","0,17 UF/m²",1000 m²,550 m²,5,5,,,,,7,,
1028,Casa En Arriendo De 5 Dorm. En Lo Barnechea,Casa,Publicado hace 21 días,2021-07-01,"Santauario Del Valle, Los Trapenses, Lo Barnechea, RM (Metropolitana)",140,4.159.792,"0,17 UF/m²","0,16 UF/m²",841 m²,375 m²,5,4,3,,,,,,
1029,"Sebastián Elcano 1784, Las Condes, Región Metropolitana",Casa,Publicado hace 3 meses,2021-07-01,"Sebastián Elcano 1784, Las Condes, Región Metropolitana, Chile, Sebastián Elcano, Las Condes, RM (Metropolitana)",1.190.000,,"0,17 UF/m²",,230 m²,100 m²,4,3,2,0 CLP,59 años,2,,,
1030,"Sebastián Elcano 1784, Las Condes, Región Metropolitana",Casa,Publicado hace 3 meses,2021-07-01,"Sebastián Elcano 1784, Las Condes, Región Metropolitana, Chile, Sebastián Elcano, Las Condes, RM (Metropolitana)",1.190.000,,"0,17 UF/m²",,230 m²,100 m²,4,3,2,0 CLP,59 años,2,,,
1031,Preciosa Casa Con Maravilloso Jardín En Excelente Sector De ,Casa,Publicado hace 21 días,2021-07-01,"Parque Bicentenario, Vitacura, RM (Metropolitana)",150,4.456.920,"0,22 UF/m²",,697 m²,1 m²,5,4,3,,41 años,,10,,
1032,Casa En Arriendo De 3 Dorm. En Vitacura,Casa,Publicado hace 21 días,2021-07-01,"Jardin Del Este / Manuela Cañas / Candelaria Goyenechea, Borde Río - Casa Piedra, Vitacura, RM (Metropolitana)",61,1.812.481,"0,31 UF/m²",,200 m²,120 m²,3,4,2,,,,,,
1033,"Parcela Condominio, Casa 2 Dormitorios",Casa,Publicado hace 20 días,2021-07-01,"Cuyuncaví, Curacavi, Curacaví, Región Metropolitana, Chile, Centro de Curacaví, Curacaví, RM (Metropolitana)",350.000,,"0,17 UF/m²",,70 m²,70 m²,2,2,2,30000 CLP,10 años,1,,,S
1034,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,Publicado hace 20 días,2021-07-01,"Contemporánea Impecable- Klotz, Lo Curro, Vitacura, RM (Metropolitana)",145,4.308.356,"0,14 UF/m²","0,1 UF/m²",1050 m²,400 m²,4,5,4,,,,,,
1035,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,Publicado hace 20 días,2021-07-01,"Contemporánea Impecable- Klotz, Lo Curro, Vitacura, RM (Metropolitana)",145,4.308.356,"0,14 UF/m²","0,1 UF/m²",1050 m²,400 m²,4,5,4,,,,,,
1036,Espectacular Y Amplia Casa En Arriendo,Casa,,2021-07-01,"El Almendral, 359, Lo Barnechea, RM (Metropolitana)",85,2.525.588,"0,15 UF/m²","0,15 UF/m²",558 m²,220 m²,4,4,5,170000 CLP,,2,,,
1037,Casa En Arriendo De 5 Dorm. En Lo Barnechea,Casa,Publicado hace 20 días,2021-07-01,"El Tranque / El Raudal / Av. La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",2.300.000,,"0,22 UF/m²",,350 m²,245 m²,5,4,2,,,,,,
1038,Sector Tobalaba,Casa,,2021-07-01,"Sector Tobalaba, Metro Simón Bolivar, La Reina, RM (Metropolitana)",2.500.000,,"0,37 UF/m²",,230 m²,480 m²,3,2,,,,,3,,
1039,Casa En Arriendo De 4 Dorm. En Lo Barnechea,Casa,Publicado hace 19 días,2021-07-01,"El Arrayan, El Arrayán, Lo Barnechea, RM (Metropolitana)",2.450.000,,"0,04 UF/m²",,2050 m²,245 m²,4,2,,,,,,,
1040,Casa En Arriendo De 5 Dorm. En Colina,Casa,Publicado hace 19 días,2021-07-01,"Espectacular Casa En Arriendo En Piedra Roja!!!, Chicureo, Colina, RM (Metropolitana)",2.400.000,,"0,11 UF/m²","0,08 UF/m²",765 m²,280 m²,5,5,,150000 CLP,,,,,
1041,Casa En Arriendo De 4 Dorm. En La Reina,Casa,Publicado hace 19 días,2021-07-01,"Pza. La Reina, La Reina, RM (Metropolitana)",1.700.000,,"0,17 UF/m²",,350 m²,170 m²,4,3,2,70000 CLP,,,,,
1042,Casa En Arriendo De 4 Dorm. En La Reina,Casa,Publicado hace 19 días,2021-07-01,"Pza. La Reina, La Reina, RM (Metropolitana)",1.700.000,,"0,17 UF/m²",,350 m²,170 m²,4,3,2,70000 CLP,,,,,
1043,Casa En Arriendo De 6 Dorm. En Lo Barnechea,Casa,Publicado hace 19 días,2021-07-01,"Condominio Lomas De La Dehesa, La Dehesa, Lo Barnechea, RM (Metropolitana)",6.000.000,,"0,16 UF/m²","0,11 UF/m²",1265 m²,303 m²,6,5,,180000 CLP,,,,,
1044,Casa En Arriendo De 3 Dorm. En La Florida,Casa,,2021-07-01,"Metro Mirador, Plaza Vespucio, La Florida, RM (Metropolitana)",560.000,,"0,14 UF/m²",,136 m²,71 m²,3,2,2,,,,,,
1045,Casa En Arriendo De 3 Dorm. En Puente Alto,Casa,,2021-07-01,"Villa El Alba, Cementerios, Puente Alto, RM (Metropolitana)",420.000,,"0,14 UF/m²",,100 m²,60 m²,3,2,4,,,,,,
1046,Casa En Arriendo De 4 Dorm. En Vitacura,Casa,Publicado hace 18 días,2021-07-01,"Carolina Rabat / Luis Pasteur, Santa María de Manquehue, Vitacura, RM (Metropolitana)",4.000.000,,"0,13 UF/m²",,1050 m²,340 m²,4,3,2,,,,,,
1047,Casa En Arriendo De 3 Dorm. En Vitacura,Casa,Publicado hace 18 días,2021-07-01,"Los Cobres De Vitacura, Nuestra Señora del Rosario, Vitacura, RM (Metropolitana)",2.900.000,,"0,14 UF/m²",,690 m²,200 m²,3,3,,,,,,,
1048,Casa En Arriendo De 3 Dorm. En Ñuñoa,Casa,Publicado hace 18 días,2021-07-01,"Simón Bolivar, Barrio Italia, Providencia, RM (Metropolitana)",1.100.000,,"0,2 UF/m²",,182 m²,114 m²,3,3,2,,,,,,
1049,Casa En Arriendo De 4 Dorm. En Las Condes,Casa,Publicado hace 17 días,2021-07-01,"Dominicos Antiguo, Estoril, Las Condes, RM (Metropolitana)",3.500.000,,"0,09 UF/m²",,1280 m²,305 m²,4,3,,,,,,,
1050,"Chicureo Oportunidad Condominio, Gc Incluidos",Casa,Publicado hace 17 días,2021-07-01,"Chicureo Oportunidad Condominio, Gc Incluidos, Chicureo, Colina, RM (Metropolitana)",900.000,,"0,07 UF/m²",,450 m²,85 m²,3,2,2,20000 CLP,,1,3,,
1051,Avenida Vicente Huidobro,Casa,,2021-07-01,"Avenida Vicente Huidobro, Portal San Pedro, San Pedro De La Paz, Biobío",750.000,,,,156 m²,90 m²,3,3,2,0 CLP,0 años,,3,,Norte
1052,Colegio Nido De Águilas / Mayflower,Casa,Publicado hace 17 días,2021-07-01,"Colegio Nido De Águilas / Mayflower, El Huinganal, Lo Barnechea, RM (Metropolitana)",230,6.833.943,"0,13 UF/m²","0,11 UF/m²",1710 m²,400 m²,4,4,4,,,2,6,1,OR
1053,Casa En Arriendo De 3 Dormitorios En Ñuñoa,Casa,Publicado hace 17 días,2021-07-01,"Exequiel Fernandez // Jose Domingo Cañas, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",1.000.000,,0 UF/m²,,,115 m²,3,1,,,,,,,
1054,Casa En Arriendo De 4 Dorm. En Lo Barnechea,Casa,Publicado hace 17 días,2021-07-01,"Robles Con El Radal, La Dehesa, Lo Barnechea, RM (Metropolitana)",85,2.525.588,"0,14 UF/m²",,588 m²,207 m²,4,2,6,170000 CLP,,,,,
1055,Casa En Arriendo De 4 Dorm. En Lo Barnechea,Casa,Publicado hace 17 días,2021-07-01,"Robles Con El Radal, La Dehesa, Lo Barnechea, RM (Metropolitana)",85,2.525.588,"0,14 UF/m²",,588 m²,207 m²,4,2,6,170000 CLP,,,,,
1056,Excelente Casa Cerca De Colegios Y De Costanera Norte. ,Casa,Publicado hace 17 días,2021-07-01,"Avenida Las Condes 13800 - 14100, Lo Barnechea, Las Condes, Chile, Plaza San Enrique, Lo Barnechea, RM (Metropolitana)",49,1.455.927,"0,11 UF/m²",,450 m²,170 m²,6,4,2,0 CLP,,2,,,SO
1057,Excelente Casa Cerca De Colegios Y De Costanera Norte. ,Casa,Publicado hace 17 días,2021-07-01,"Avenida Las Condes 13800 - 14100, Lo Barnechea, Las Condes, Chile, Plaza San Enrique, Lo Barnechea, RM (Metropolitana)",49,1.455.927,"0,11 UF/m²",,450 m²,170 m²,6,4,2,0 CLP,,2,,,SO
1058,Casa En Arriendo De 3 Dorm. En La Reina,Casa,Publicado hace 17 días,2021-07-01,"José Zapiola- Ossandón -condominio, Barrio Italia, Providencia, RM (Metropolitana)",46,1.384.616,"0,16 UF/m²",,284 m²,145 m²,3,3,2,80000 CLP,,,,,
1059,"Casa 4 Dormitorios/ 3 Baños Las Ñipas , Vitacura, Chile",Casa,Publicado hace 2 meses,2021-07-01,"Las Ñipas , Vitacura, Chile, Parque Bicentenario, Vitacura, RM (Metropolitana)",71,2.109.609,"0,16 UF/m²",,453 m²,176 m²,4,3,2,,,2,,,
1060,"Casa 4 Dormitorios/ 3 Baños Las Ñipas , Vitacura, Chile",Casa,Publicado hace 2 meses,2021-07-01,"Las Ñipas , Vitacura, Chile, Parque Bicentenario, Vitacura, RM (Metropolitana)",71,2.109.609,"0,16 UF/m²",,453 m²,176 m²,4,3,2,,,2,,,
1061,Casa Pedro De Valdivia Norte Gran Terraza ,Casa,Publicado hace 17 días,2021-07-01,"Alberto Risopatrón 2708, Providencia, Región Metropolitana, Chile, Pedro de Valdivia Norte, Providencia, RM (Metropolitana)",1.700.000,,"0,14 UF/m²","0,19 UF/m²",400 m²,230 m²,5,4,2,0 CLP,20 años,2,,,
1062,Casa Pedro De Valdivia Norte Gran Terraza ,Casa,Publicado hace 17 días,2021-07-01,"Alberto Risopatrón 2708, Providencia, Región Metropolitana, Chile, Pedro de Valdivia Norte, Providencia, RM (Metropolitana)",1.700.000,,"0,14 UF/m²","0,19 UF/m²",400 m²,230 m²,5,4,2,0 CLP,20 años,2,,,
1063,Casa En Arriendo De 4 Dorm. En Las Condes,Casa,Publicado hace 17 días,2021-07-01,"La Escuela Con Soublette, Los Dominicos, Las Condes, RM (Metropolitana)",1.800.000,,"0,15 UF/m²",,410 m²,145 m²,4,2,,,,,,,
1064,Casa En Arriendo De 4 Dorm. En Las Condes,Casa,Publicado hace 17 días,2021-07-01,"La Escuela Con Soublette, Los Dominicos, Las Condes, RM (Metropolitana)",1.800.000,,"0,15 UF/m²",,410 m²,145 m²,4,2,,,,,,,
1065,"Casa En Arriendo, La Florida",Casa,Publicado hace 17 días,2021-07-01,"Costa Rica, Rojas Magallanes, La Florida, RM (Metropolitana)",650.000,,"0,13 UF/m²",,166 m²,91 m²,4,3,3,20000 CLP,,,,,Nororiente
1066,Arriendo Dueño Directo- Excelente Casa Comercial En Golf,Casa,Publicado hace 17 días,2021-07-01,"Barrio El Golf, Las Condes, Chile, Barrio El Golf, Las Condes, RM (Metropolitana)",139,4.130.079,"0,6 UF/m²",,230 m²,300 m²,7,5,2,,,2,,,
1067,Casa 3d - 3b,Casa,Publicado hace 17 días,2021-07-01,"Avenida Jorge Alessandri, Maipú, Chile, El Rosal, Maipú, RM (Metropolitana)",790.000,,"0,27 UF/m²",,100 m²,130 m²,3,3,1,41000 CLP,3 años,2,,,
